Designator,Mid X,Mid Y,Rotation,Layer
_6,79.551048,3.23,0.0,bottom
_5,-18.708952,18.75,0.0,bottom
_4,-18.508952,37.63,0.0,bottom
_3,28.761048,1.59,0.0,bottom
_2,67.421048,40.44,0.0,bottom
,29.031048,44.41,0.0,bottom
C17,70.086048,50.61,90.0,bottom
C18,66.416048,7.74,270.0,bottom
C19,41.006048,11.03,270.0,bottom
C20,11.806048,10.3,270.0,bottom
C21,-11.273952,5.23,270.0,bottom
C22,70.006048,31.9,90.0,bottom
C23,69.926048,12.79,90.0,bottom
C24,41.386048,-4.61,90.0,bottom
C25,62.716048,-8.29,105.0,bottom
C26,82.526048,-16.88,120.0,bottom
C27,31.896048,35.8,90.0,bottom
C28,50.906048,52.83,90.0,bottom
C29,50.996048,33.27,90.0,bottom
C30,31.896048,16.44,90.0,bottom
C31,50.896048,14.7,90.0,bottom
C32,12.806048,52.38,90.0,bottom
C33,12.846048,33.21,90.0,bottom
C34,12.876048,14.63,90.0,bottom
C35,-6.233952,47.33,90.0,bottom
C36,31.976048,54.53,90.0,bottom
C37,-25.273952,28.77,90.0,bottom
C38,-25.253952,47.65,90.0,bottom
C39,-6.183952,28.68,90.0,bottom
C40,-25.223952,9.77,90.0,bottom
C41,-6.253952,9.65,90.0,bottom
H1,10.081048,14.05,0.0,bottom
H10,-28.018952,47.15,0.0,bottom
H11,10.081048,52.15,0.0,bottom
H12,48.181048,14.05,0.0,bottom
H13,48.181048,33.1,0.0,bottom
H14,29.131048,16.05,0.0,bottom
H15,10.081048,33.1,0.0,bottom
H16,-8.968952,47.15,0.0,bottom
H17,29.131048,35.1,0.0,bottom
H18,-8.968952,28.1,0.0,bottom
H19,29.131048,54.15,0.0,bottom
H2,48.181048,52.15,0.0,bottom
H20,-8.968952,9.05,0.0,bottom
H21,67.231048,12.05,0.0,bottom
H3,67.231048,31.1,0.0,bottom
H4,67.231048,50.15,0.0,bottom
H5,60.001048,-7.82,15.0,bottom
H6,79.841048,-16.05,30.0,bottom
H7,38.656048,-5.0,0.0,bottom
H9,-28.018952,28.1,0.0,bottom
J4,98.646048,0.0,270.0,bottom
U1,89.701048,38.0,0.0,top
U10,67.231048,31.1,270.0,bottom
U11,67.231048,12.05,270.0,bottom
U12,38.656048,-5.0,270.0,bottom
U13,60.001048,-7.82,285.0,bottom
U14,79.841048,-16.05,300.0,bottom
U15,29.131048,35.1,270.0,bottom
U16,48.181048,52.15,270.0,bottom
U17,48.181048,33.1,270.0,bottom
U18,29.131048,16.05,270.0,bottom
U19,48.181048,14.05,270.0,bottom
U20,10.081048,52.15,270.0,bottom
U21,10.081048,33.1,270.0,bottom
U22,10.081048,14.05,270.0,bottom
U23,-8.968952,47.15,270.0,bottom
U24,29.131048,54.15,270.0,bottom
U25,-28.018952,28.1,270.0,bottom
U26,-28.018952,47.15,270.0,bottom
U27,-8.968952,28.1,270.0,bottom
U28,-28.018952,9.05,270.0,bottom
U29,-8.968952,9.05,270.0,bottom
U31,87.611048,37.6675,0.0,bottom
U5,59.951048,6.0,0.0,bottom
U6,34.701048,9.0,0.0,bottom
U7,5.501048,8.2,0.0,bottom
U8,-17.548952,3.25,0.0,bottom
U9,67.231048,50.15,270.0,bottom
